_c0,_c1,cnt,1
Y71,PROD_NAME,12408,1
财付通,APP_NAME,12388,1
2018-05-20 00:00:00,DATE,12388,1
2018-05-09 00:00:00,DATE,12385,1
43249,DATE,12346,1
外套,PROD_TAG,12342,1
丝袜,PROD_TAG,12313,1
詹姆斯,PERSON_NAME,12283,1
43108,DATE,12250,1
00:00:00,CLOCK,12223,1
10:00:00,CLOCK,12181,1
阔腿裤,PROD_TAG,12135,1
2018-05-08 00:00:00,DATE,12119,1
体恤,PROD_TAG,12119,1
2.5,DATE,12014,1
2018-05-15 00:00:00,DATE,12006,1
43252,DATE,11974,1
2018-05-07 00:00:00,DATE,11928,1
西藏,ADMIN,11835,1
baby,PERSON_NAME,11826,1
佩奇,PERSON_NAME,11805,0
2018.04,DATE,11791,1
2018-05-04 00:00:00,DATE,11779,1
全季酒店,HOTEL,11744,1
早晨,CLOCK,11732,1
2018-05-01 00:00:00,DATE,11731,1
凌晨,CLOCK,11731,1
2018-05-03 00:00:00,DATE,11706,1
2018-05-05 00:00:00,DATE,11672,1
2018-05-06 00:00:00,DATE,11653,1
姜,PLANT,11641,1
2018-05-02 00:00:00,DATE,11631,1
2018-05-19 00:00:00,DATE,11616,1
猴子,ANIMAL,11601,1
2018-05-13 00:00:00,DATE,11568,1
43136,DATE,11532,1
花呗,APP_NAME,11528,0
山西,ADMIN,11524,1
2018-05-12 00:00:00,DATE,11471,1
8小时,TIME_OTHER,11469,1
越南,ADMIN,11468,1
17:00:00,CLOCK,11420,1
2018-05-14 00:00:00,DATE,11409,1
爱,BOOK,11365,0
y83,TRAIN_NUM,11365,0
南京全季酒店,HOTEL,11338,1
半夜,CLOCK,11294,1
1.3,DATE,11285,1
贵州,ADMIN,11191,1
^_^,EXPR_NAME,11166,1
唐思雨,PERSON_NAME,11142,1
1.6,DATE,11058,1
朝鲜,ADMIN,11042,1
苏州,ADMIN,11013,1
沈阳,ADMIN,11009,1
林奇,PERSON_NAME,11007,1
陕西,ADMIN,10996,1
qq,APP_NAME,10959,1
手机壳,PROD_TAG,10875,1
青岛,ADMIN,10837,1
2018-05-21 00:00:00,DATE,10816,1
情人节,DAY,10812,1
43107,DATE,10767,1
19:09:00,CLOCK,10761,1
厦门,ADMIN,10760,1
南京,,,1
,STATION,10759,1
1.8,DATE,10732,1
两点,CLOCK,10723,1
43225,DATE,10721,1
张杰,PERSON_NAME,10713,1
东莞,ADMIN,10696,1
安徽,ADMIN,10688,1
香蕉,PLANT,10671,1
黄瓜,PLANT,10652,1
3号,DAY,10588,0
洗衣液,PROD_TAG,10577,1
2014年,DATE,10558,1
江西,ADMIN,10484,1
今天下午,CLOCK,10473,1
43164,DATE,10451,1
20:00:00,CLOCK,10446,1
赵丽颖,PERSON_NAME,10413,1
5.1,DATE,10328,1
湖北,ADMIN,10298,1
1.4,DATE,10295,1
大连,ADMIN,10269,1
滴滴快车,APP_NAME,10247,1
九分裤,PROD_TAG,10212,1
洗发水,PROD_TAG,10192,1
张翰,PERSON_NAME,10190,1
2018-05-22 00:00:00,DATE,10149,1
。。。。。。,EXPR_NAME,10120,1
21:00:00,CLOCK,10069,1
周杰伦,PERSON_NAME,10058,1
14:00:00,CLOCK,10057,1
QQ邮箱,APP_NAME,10055,1
一日,DAY,9983,0
￥,PROD_NAME,9959,0
金正恩,PERSON_NAME,9929,1
后来的我们,FILM,9925,1
2018-05-25 00:00:00,DATE,9922,1
儿童节,DAY,9878,1
y79,TRAIN_NUM,9792,0
19:00:00,CLOCK,9740,1
2018-05-27 00:00:00,DATE,9709,1
2018-05-23 00:00:00,DATE,9688,1
星期六,DAY,9686,1
2018-05-24 00:00:00,DATE,9685,1
一小时,TIME_OTHER,9666,1
2013年,DATE,9650,1
休闲裤,PROD_TAG,9602,1
蝴蝶,ANIMAL,9575,1
昆明,ADMIN,9558,1
衬衫,PROD_TAG,9546,1
10点,CLOCK,9519,1
Y85,PROD_NAME,9483,1
饿了么,APP_NAME,9482,1
今天晚上,CLOCK,9481,1
密码,APP_NAME,9460,0
6.28,DATE,9431,1
以色列,ADMIN,9303,1
29.9,DATE,9284,1
星期一,DAY,9278,1
19.9,DATE,9252,1
京东商城,APP_NAME,9242,1
43195,DATE,9238,1
43250,DATE,9199,1
韵达快递,EXPRESS_VENDOR,9188,1
6小时,TIME_OTHER,9166,1
《后来的我们》,FILM,9137,1
5.5,DATE,9053,1
09:00:00,CLOCK,9046,1
郑爽,PERSON_NAME,9019,1
迅雷,APP_NAME,8998,1
跑步鞋,PROD_TAG,8992,1
2018-05-26 00:00:00,DATE,8983,1
星期五,DAY,8898,1
5小时,TIME_OTHER,8863,1
一个小时,TIME_OTHER,8856,1
拖鞋,PROD_TAG,8850,1
三亚,ADMIN,8845,1
悠悠,PERSON_NAME,8804,1
QQ空间,APP_NAME,8795,1
民生银行,APP_NAME,8765,1
5.17,DATE,8751,1
陌陌,APP_NAME,8741,1
12小时,TIME_OTHER,8704,1
5号,DAY,8694,0
2012年,DATE,8694,1
唐宁,PERSON_NAME,8670,1
中通快递,EXPRESS_VENDOR,8638,1
《复仇者联盟3》,FILM,8633,1
犬,ANIMAL,8623,1
洗衣机,PROD_TAG,8620,1
福建,ADMIN,8608,1
00:00:00,CLOCK,8555,1
09:00:00,CLOCK,8541,1
葡萄,PLANT,8538,1
43251,DATE,8519,1
阿里巴巴,ADDR,8492,1
意大利,ADMIN,8451,1
y75,TRAIN_NUM,8448,0
流光,MUSIC,8422,1
39.9,DATE,8404,1
2018-05-28 00:00:00,DATE,8395,1
凉鞋,PROD_TAG,8363,1
20年,DATE,8357,1
百度知道,APP_NAME,8354,1
榨汁机,PROD_TAG,8348,1
澳洲,ADMIN,8337,1
小麦,PLANT,8329,1
咪咕视频,APP_NAME,8327,1
Jovi,PERSON_NAME,8293,0
16:00:00,CLOCK,8286,1
济南,ADMIN,8255,1
情歌,MUSIC,8218,1
43220,DATE,8165,1
3.5,DATE,8163,1
曹操,PERSON_NAME,8156,1
帽子,PROD_TAG,8152,1
11:00:00,CLOCK,8148,1
9点,CLOCK,8143,1
12点,CLOCK,8138,1
15:00:00,CLOCK,8137,1
大麦,PLANT,8124,1
中通,EXPRESS_VENDOR,8089,1
叶欢,PERSON_NAME,8080,1
防晒衣,PROD_TAG,8067,1
携程,APP_NAME,8052,1
X21,,,1
,PROD_NAME,8043,1
淘口令,APP_SERVICE,8039,1
成龙,PERSON_NAME,8024,1
我还是很喜欢你,BOOK,8002,1
樱花,PLANT,7996,1
发现,BOOK,7969,0
18年,DATE,7950,1
中信银行,ADDR,7941,1
宁波,ADMIN,7934,1
非洲,ADMIN,7924,1
22:00:00,CLOCK,7911,1
weibo.com,URL,7899,1
李晨,PERSON_NAME,7898,1
哈尔滨,ADMIN,7882,1
苹果手机,PROD_NAME,7857,1
《红海行动》,FILM,7847,1
牛仔裤,PROD_TAG,7841,1
平安银行,ADDR,7824,1
43221,DATE,7818,1
星期二,DAY,7816,1
合肥,ADMIN,7777,1
CA1314航班,FLIGHT_NUM,7773,1
星期三,DAY,7750,1
农业银行,STOCK_NAME,7745,1
奶粉,PROD_TAG,7700,1
王宝强,PERSON_NAME,7653,1
长裤,PROD_TAG,7650,1
搜狗,APP_NAME,7634,1
y55,TRAIN_NUM,7624,0
沙滩鞋,PROD_TAG,7621,1
南宁,ADMIN,7621,1
杨梅,PLANT,7560,1
星期四,DAY,7555,1
明年,DATE,7545,1
21,BOOK,7539,0
十点,CLOCK,7536,1
,,,1
,,,1
,PERSON_NAME,7536,1
兴业银行,ADDR,7528,1
2011年,DATE,7511,1
甘肃,ADMIN,7501,1
青海,ADMIN,7498,1
睡衣,PROD_TAG,7493,1
Jovi,APP_NAME,7486,0
唐嫣,PERSON_NAME,7465,1
眼霜,PROD_TAG,7457,1
Y83,PROD_NAME,7449,1
心,BOOK,7425,0
肯德基,CATER,7416,1
李白,PERSON_NAME,7403,1
vivox21手机壳,PROD_NAME,7382,1
2018-05-29 00:00:00,DATE,7369,1
叙利亚,ADMIN,7361,1
防晒霜,PROD_TAG,7359,1
X21i,PROD_NAME,7352,1
4号,DAY,7328,0
阿娇,PERSON_NAME,7322,1
陈赫,PERSON_NAME,7318,1
衬衣,PROD_TAG,7306,1
防晒喷雾,PROD_TAG,7301,1
4.1,DATE,7295,1
上月,DATE,7293,1
明天早上,CLOCK,7279,1
x9,PROD_NAME,7272,1
4.5,DATE,7268,1
内蒙古,ADMIN,7260,1
4.7,DATE,7256,1
1.7,DATE,7249,1
笔记本,PROD_TAG,7242,1
43218,DATE,7241,1
4.9,DATE,7226,1
关晓彤,PERSON_NAME,7206,1
43230,DATE,7194,1
OPPO R15,PROD_NAME,7173,1
咪咕阅读,APP_NAME,7162,1
库里,PERSON_NAME,7143,1
2.1,DATE,7140,1
2008年,DATE,7139,1
1.9,DATE,7104,1
10日,DAY,7104,0
今天上午,CLOCK,7091,1
立体声蓝牙耳机,PROD_TAG,7080,1
六月,DATE,7077,1
毛泽东,PERSON_NAME,7065,1
滴滴APP,APP_NAME,7059,1
43228,DATE,7038,1
43219,DATE,7031,1
43240,DATE,7023,1
太原,ADMIN,7014,1
8点,CLOCK,7011,1
国务院,GOV,6996,1
唇膏,PROD_TAG,6979,1
y71,PROD_NAME,6977,1
蓝牙耳机,PROD_TAG,6969,1
43238,DATE,6968,1
聚划算,APP_NAME,6962,1
17:30:00,CLOCK,6952,1
板鞋,PROD_TAG,6941,1
2010年,DATE,6932,1
星期天,DAY,6916,1
2.2,DATE,6905,1
新加坡,ADMIN,6897,1
43139,DATE,6896,1
洛阳,ADMIN,6870,1
数据线,PROD_TAG,6829,1
手机营业厅,APP_NAME,6822,1
钢化膜,PROD_TAG,6808,1
20日,DAY,6803,0
43231,DATE,6770,1
R11s,PROD_NAME,6764,1
昨天晚上,CLOCK,6759,1
香水,PROD_TAG,6759,1
菊花,PLANT,6758,1
43224,DATE,6749,1
蔡徐坤,PERSON_NAME,6747,1
周冬雨,PERSON_NAME,6742,1
春节,DAY,6730,1
叶凡,PERSON_NAME,6714,1
纸尿裤,PROD_TAG,6712,1
四月,DATE,6697,1
43236,DATE,6692,1
43235,DATE,6691,1
08:00:00,CLOCK,6684,1
金立,PROD_BRAND,6669,1
诸葛亮,PERSON_NAME,6666,1
3月,DATE,6662,1
钉钉,APP_NAME,6657,1
马来西亚,ADMIN,6652,1
农行,ADDR,6651,1
30年,DATE,6628,1
43225,DATE,6621,1
6号,DAY,6617,0
10号,DAY,6616,0
微信红包,APP_SERVICE,6603,1
13:00:00,CLOCK,6564,1
10:30:00,CLOCK,6563,1
43229,DATE,6555,1
夜里,CLOCK,6552,1
内蒙,ADMIN,6539,1
充电器,PROD_TAG,6534,1
胸罩,PROD_TAG,6534,1
vivo x21,PROD_NAME,6519,1
历史,BOOK,6519,0
刘德华,PERSON_NAME,6516,1
番茄,PLANT,6512,1
08:00:00,CLOCK,6512,1
58同城,APP_NAME,6503,1
43239,DATE,6493,1
迪丽热巴,PERSON_NAME,6482,1
捷信,ADDR,6459,1
沈浪,PERSON_NAME,6458,1
南昌,ADMIN,6446,1
43223,DATE,6431,1
43237,DATE,6421,1
2.4,DATE,6412,1
宁夏,ADMIN,6406,1
男鞋,PROD_TAG,6400,1
光大银行,STOCK_NAME,6399,1
20号,DAY,6397,0
43227,DATE,6391,1
邓超,PERSON_NAME,6388,1
43232,DATE,6379,1
流年,MUSIC,6373,1
韵达,EXPRESS_VENDOR,6365,1
校服,PROD_TAG,6364,1
2.3,DATE,6357,1
薄荷,PLANT,6357,1
圆通,EXPRESS_VENDOR,6352,1
8号,DAY,6330,0
7号,DAY,6328,0
何炅,PERSON_NAME,6324,1
骁龙660AIE,PROD_NAME,6320,1
iPhone 7 Plus,PROD_NAME,6315,1
温州,ADMIN,6302,1
北大,SCHOOL,6273,1
4.8,DATE,6269,1
澳大利亚,ADMIN,6264,1
豆瓣,APP_NAME,6263,1
43138,DATE,6262,1
胡歌,PERSON_NAME,6260,1
滴滴出行,APP_NAME,6252,1
安逸,PERSON_NAME,6219,1
冯提莫,PERSON_NAME,6207,1
43222,DATE,6206,1
李小璐,PERSON_NAME,6198,1
百世快递,EXPRESS_VENDOR,6191,1
刘备,PERSON_NAME,6189,1
枸杞,PLANT,6181,1
vivo X21i,PROD_NAME,6169,1
43234,DATE,6155,1
7小时,TIME_OTHER,6145,1
司行霈,PERSON_NAME,6143,1
6.1,DATE,6126,1
ins,APP_NAME,6125,1
糯米,PLANT,6113,1
刘涛,PERSON_NAME,6096,1
5.21,DATE,6072,1
捷信公司,ADDR,6067,1
43226,DATE,6065,1
2018-04-30 00:00:00,DATE,6042,1
08:30:00,CLOCK,6036,1
邢烈寒,PERSON_NAME,6034,1
核桃,PLANT,6016,1
马蓉,PERSON_NAME,6002,1
哈登,PERSON_NAME,5980,1
沐浴露,PROD_TAG,5977,1
43167,DATE,5972,1
卡帝乐鳄鱼,PROD_BRAND,5952,1
西装,PROD_TAG,5951,1
11:30:00,CLOCK,5937,1
15年,DATE,5928,1
43241,DATE,5916,1
福州,ADMIN,5893,1
前天,DAY,5885,1
小王,PERSON_NAME,5864,1
2018-05-30 00:00:00,DATE,5857,1
43233,DATE,5856,1
建行,ADDR,5850,1
猎豹,ANIMAL,5849,1
长裙,PROD_TAG,5847,1
澳门,ADMIN,5846,1
下月,DATE,5836,1
短裙,PROD_TAG,5835,1
?,PROD_NAME,5818,0
2009年,DATE,5814,1
加拿大,ADMIN,5789,1
黄磊,PERSON_NAME,5788,1
15号,DAY,5768,0
王思聪,PERSON_NAME,5750,1
杨清,PERSON_NAME,5748,1
5月20号,DATE,5744,1
xplay6,PROD_NAME,5740,1
霍思燕,PERSON_NAME,5737,1
中国建设银行,ADDR,5702,1
和生活,APP_NAME,5699,1
一号,DAY,5666,0
葱,PLANT,5664,1
5.7,DATE,5648,1
贵阳,ADMIN,5645,1
43245,DATE,5645,1
43243,DATE,5632,1
9号,DAY,5612,0
43242,DATE,5611,1
钢铁侠,FILM,5609,1
长春,ADMIN,5604,1
x21,,,1
,PROD_NAME,5600,1
http://t.cn/Rm35ryR,URL,5599,1
薛之谦,PERSON_NAME,5590,1
孙振洲,PERSON_NAME,5587,1
芳华,FILM,5585,1
胡萝卜,PLANT,5581,1
知乎,APP_NAME,5579,1
春装,PROD_TAG,5563,1
8.1,DATE,5560,1
美,BOOK,5558,0
三月,DATE,5557,1
上个月,DATE,5542,1
百度云,APP_NAME,5523,1
网鞋,PROD_TAG,5513,1
背心,PROD_TAG,5508,1
5.8,DATE,5502,1
今天早上,CLOCK,5489,1
10小时,TIME_OTHER,5488,1
5.2,DATE,5480,1
QQ音乐,APP_NAME,5471,1
大学,BOOK,5468,0
5.9,DATE,5467,1
杨杨,PERSON_NAME,5465,1
路由器,PROD_TAG,5464,1
43166,DATE,5452,1
I'm,EXPR_NAME,5452,1
申通,EXPRESS_VENDOR,5444,1
vivo Y85,PROD_NAME,5436,1
单鞋,PROD_TAG,5434,1
蟹,ANIMAL,5428,1
小李,PERSON_NAME,5420,1
张韶涵,PERSON_NAME,5417,1
牙膏,PROD_TAG,5397,1
洋葱,MUSIC,5395,1
新华社,ADDR,5377,1
我的世界,APP_NAME,5374,1
43228,DATE,5373,1
张钧甯,PERSON_NAME,5370,1
家居服,PROD_TAG,5356,1
蓝牙音箱,PROD_TAG,5331,1
43217,DATE,5330,1
一月,DATE,5329,1
万达,ADDR,5325,1
0点,CLOCK,5324,1
iPhoneX,PROD_NAME,5317,1
巴黎,ADMIN,5317,1
乳液,PROD_TAG,5314,1
下个月,DATE,5310,1
程漓月,PERSON_NAME,5308,1
可可,PLANT,5298,1
43320,DATE,5297,1
5.13,DATE,5292,1
08:30:00,CLOCK,5270,1
非诚勿扰,TV,5266,0
杨紫,PERSON_NAME,5260,1
李先生,PERSON_NAME,5259,1
年少,PERSON_NAME,5253,1
黄圣依,PERSON_NAME,5248,1
00:10:00,CLOCK,5231,1
7月,DATE,5224,1
43198,DATE,5193,1
24时,CLOCK,5193,1
电扇,PROD_TAG,5186,1
小明,PERSON_NAME,5175,1
义乌,ADMIN,5163,1
唐悠悠,PERSON_NAME,5158,1
柳擎宇,PERSON_NAME,5156,1
百度网盘,APP_NAME,5150,1
戛纳,ADMIN,5140,1
2.6,DATE,5137,1
4.3,DATE,5134,1
中国移动,APP_NAME,5131,1
辽宁,ADMIN,5121,1
43220,DATE,5115,1
笔记本电脑,PROD_TAG,5115,1
43246,DATE,5113,1
18:30:00,CLOCK,5112,1
无锡,ADMIN,5111,1
吊带,PROD_TAG,5107,1
43288,DATE,5105,1
?,PROD_NAME,5100,0
文胸,PROD_TAG,5099,1
20:30:00,CLOCK,5098,1
蓝牙音响,PROD_TAG,5090,1
家庭,BOOK,5086,0
劳动节,DAY,5067,1
红海行动,FILM,5059,1
面霜,PROD_TAG,5056,1
手,BOOK,5054,0
43244,DATE,5040,1
18号,DAY,5034,0
龟,ANIMAL,5034,1
19:30:00,CLOCK,5030,1
热裤,PROD_TAG,5026,1
刘振华,PERSON_NAME,5020,1
狮子,ANIMAL,5019,1
荣耀10,PROD_NAME,5019,1
包头,ADMIN,5006,1
兰州,ADMIN,5003,1
王俊凯,PERSON_NAME,4996,1
11点,CLOCK,4991,1
16:30:00,CLOCK,4970,1
17年,DATE,4956,1
vivo Y71,PROD_NAME,4954,1
X21A,PROD_NAME,4946,1
圆通快递,EXPRESS_VENDOR,4931,1
6点,CLOCK,4929,1
圌伦,PERSON_NAME,4918,0
普京,PERSON_NAME,4916,1
联想,PROD_BRAND,4916,1
孟美岐,PERSON_NAME,4912,1
2.8,DATE,4911,1
7点,CLOCK,4906,1
红薯,PLANT,4906,1
女儿,BOOK,4906,0
?,PERSON_NAME,4901,0
张靓颖,PERSON_NAME,4900,1
潮鞋,PROD_TAG,4899,1
林语嫣,PERSON_NAME,4898,1
吉林,ADMIN,4894,1
苏联,ADMIN,4890,1
桂林,ADMIN,4889,1
张一山,PERSON_NAME,4879,1
花花公子,PROD_BRAND,4877,1
星期日,DAY,4873,1
石家庄,ADMIN,4862,1
雷军,PERSON_NAME,4854,1
y66,TRAIN_NUM,4851,0
贾乃亮,PERSON_NAME,4840,1
美团网,APP_NAME,4837,1
平台,BOOK,4822,0
北极绒,PROD_BRAND,4790,1
漫威,ADDR,4787,1
中国人寿,STOCK_NAME,4785,1
43227,DATE,4780,1
5.12,DATE,4775,1
43197,DATE,4774,1
短袖T恤,PROD_TAG,4770,1
泉州,ADMIN,4769,1
49.9,DATE,4766,1
23:00:00,CLOCK,4765,1
亚麻,PLANT,4765,1
5.27,DATE,4762,1
手电筒,APP_NAME,4758,1
孙俪,PERSON_NAME,4752,1
高通,PROD_BRAND,4752,1
13:30:00,CLOCK,4742,1
佛山,ADMIN,4741,1
杨羽,PERSON_NAME,4736,1
李连杰,PERSON_NAME,4733,1
13号,DAY,4733,0
3.2,DATE,4731,1
交行,ADDR,4729,1
习近平总书记,PERSON_NAME,4729,1
运动裤,PROD_TAG,4721,1
43219,DATE,4720,1
趣头条,APP_NAME,4714,1
43221,DATE,4709,1
孙悟空,PERSON_NAME,4708,1
颖儿,PERSON_NAME,4707,1
23,BOOK,4695,0
21:30:00,CLOCK,4695,1
凉拖鞋,PROD_TAG,4683,1
2018-05-18 00:00:00,DATE,4680,1
韭菜,PLANT,4676,1
河南省,ADMIN,4673,1
